route,weather,hour,day_of_week,delay_minutes
Route 9 (CBD-Karen),light_rain,16.0,Saturday,10.8
Route 9 (CBD-Karen),heavy_rain,12.0,Sunday,17.0
Route 111 (CBD-Rongai),cloudy,10.0,Thursday,22.9
Route 111 (CBD-Rongai),cloudy,8.0,Thursday,37.0
Route 58 (CBD-Westlands),sunny,12.0,Tuesday,4.5
Route 46 (CBD-Kikuyu),heavy_rain,5.0,Wednesday,34.1
Route 33 (CBD-Umoja),light_rain,5.0,Saturday,8.2
Route 46 (CBD-Kikuyu),cloudy,10.0,Thursday,19.5
Route 58 (CBD-Westlands),light_rain,9.0,Wednesday,30.1
Route 111 (CBD-Rongai),cloudy,19.0,Tuesday,28.6
Route 33 (CBD-Umoja),light_rain,10.0,Tuesday,
Route 33 (CBD-Umoja),heavy_rain,21.0,Thursday,16.0
Route 9 (CBD-Karen),,22.0,Saturday,10.3
Route 9 (CBD-Karen),heavy_rain,6.0,Wednesday,24.1
Route 111 (CBD-Rongai),heavy_rain,8.0,Monday,60.8
Route 33 (CBD-Umoja),cloudy,16.0,Thursday,9.4
Route 111 (CBD-Rongai),cloudy,13.0,Monday,18.8
Route 111 (CBD-Rongai),cloudy,13.0,Wednesday,15.5
Route 9 (CBD-Karen),light_rain,6.0,Sunday,
Route 9 (CBD-Karen),light_rain,14.0,Wednesday,9.7
Route 111 (CBD-Rongai),heavy_rain,14.0,Tuesday,44.3
Route 9 (CBD-Karen),heavy_rain,13.0,Saturday,22.0
Route 58 (CBD-Westlands),sunny,13.0,Wednesday,5.7
Route 111 (CBD-Rongai),heavy_rain,10.0,Wednesday,46.8
Route 46 (CBD-Kikuyu),light_rain,17.0,Sunday,26.5
Route 111 (CBD-Rongai),,20.0,Thursday,22.2
Route 9 (CBD-Karen),cloudy,12.0,Tuesday,18.4
Route 58 (CBD-Westlands),light_rain,20.0,Thursday,
Route 46 (CBD-Kikuyu),cloudy,11.0,Wednesday,15.7
Route 9 (CBD-Karen),sunny,13.0,Friday,6.4
Route 33 (CBD-Umoja),sunny,19.0,Friday,9.4
Route 58 (CBD-Westlands),cloudy,12.0,Saturday,7.5
Route 9 (CBD-Karen),light_rain,7.0,Saturday,21.2
Route 58 (CBD-Westlands),light_rain,6.0,Tuesday,15.3
Route 111 (CBD-Rongai),sunny,22.0,Sunday,13.5
Route 111 (CBD-Rongai),sunny,19.0,Monday,28.3
Route 46 (CBD-Kikuyu),,14.0,Friday,32.7
Route 111 (CBD-Rongai),cloudy,19.0,Monday,29.0
Route 58 (CBD-Westlands),light_rain,21.0,Thursday,19.9
Route 46 (CBD-Kikuyu),cloudy,15.0,Wednesday,18.6
Route 33 (CBD-Umoja),cloudy,20.0,Monday,5.2
Route 58 (CBD-Westlands),cloudy,7.0,Sunday,26.0
Route 111 (CBD-Rongai),light_rain,22.0,Sunday,24.4
Route 58 (CBD-Westlands),light_rain,21.0,Wednesday,19.3
Route 9 (CBD-Karen),cloudy,9.0,Wednesday,24.8
Route 58 (CBD-Westlands),cloudy,15.0,Friday,15.3
Route 9 (CBD-Karen),cloudy,13.0,Thursday,15.8
Route 9 (CBD-Karen),light_rain,16.0,Sunday,13.1
Route 111 (CBD-Rongai),heavy_rain,5.0,Sunday,36.8
Route 58 (CBD-Westlands),heavy_rain,13.0,Monday,30.2
Route 9 (CBD-Karen),light_rain,16.0,Monday,11.4
Route 46 (CBD-Kikuyu),cloudy,11.0,Friday,17.2
Route 58 (CBD-Westlands),cloudy,15.0,Saturday,10.3
Route 33 (CBD-Umoja),heavy_rain,20.0,Tuesday,18.4
Route 33 (CBD-Umoja),sunny,15.0,Wednesday,7.5
Route 111 (CBD-Rongai),cloudy,7.0,Wednesday,24.1
Route 58 (CBD-Westlands),light_rain,11.0,Friday,17.0
Route 9 (CBD-Karen),light_rain,5.0,Tuesday,16.4
Route 9 (CBD-Karen),light_rain,19.0,Saturday,22.6
Route 111 (CBD-Rongai),light_rain,15.0,Tuesday,24.7
Route 33 (CBD-Umoja),cloudy,8.0,Saturday,20.7
Route 33 (CBD-Umoja),,21.0,Wednesday,
Route 46 (CBD-Kikuyu),light_rain,22.0,Thursday,26.3
Route 33 (CBD-Umoja),sunny,22.0,Sunday,5.7
Route 33 (CBD-Umoja),heavy_rain,11.0,Sunday,12.6
Route 111 (CBD-Rongai),heavy_rain,9.0,Saturday,56.3
Route 111 (CBD-Rongai),heavy_rain,,Thursday,38.4
Route 33 (CBD-Umoja),sunny,12.0,Wednesday,11.7
Route 9 (CBD-Karen),heavy_rain,11.0,Sunday,24.0
Route 46 (CBD-Kikuyu),cloudy,11.0,Sunday,10.1
Route 46 (CBD-Kikuyu),sunny,9.0,Friday,29.6
Route 58 (CBD-Westlands),cloudy,11.0,Wednesday,13.4
Route 58 (CBD-Westlands),light_rain,5.0,Tuesday,20.4
Route 111 (CBD-Rongai),sunny,19.0,Sunday,25.0
Route 111 (CBD-Rongai),heavy_rain,17.0,Tuesday,52.7
Route 33 (CBD-Umoja),cloudy,21.0,Friday,12.8
Route 33 (CBD-Umoja),heavy_rain,16.0,Saturday,18.4
Route 33 (CBD-Umoja),light_rain,20.0,Wednesday,
Route 111 (CBD-Rongai),heavy_rain,17.0,Sunday,54.4
Route 33 (CBD-Umoja),heavy_rain,14.0,Tuesday,12.6
Route 111 (CBD-Rongai),heavy_rain,5.0,Wednesday,47.3
Route 58 (CBD-Westlands),cloudy,5.0,Tuesday,18.9
Route 33 (CBD-Umoja),sunny,11.0,Sunday,0.0
Route 58 (CBD-Westlands),heavy_rain,10.0,Tuesday,27.2
Route 58 (CBD-Westlands),light_rain,8.0,Sunday,20.8
Route 9 (CBD-Karen),light_rain,15.0,Monday,15.1
Route 33 (CBD-Umoja),cloudy,18.0,Monday,18.4
Route 58 (CBD-Westlands),cloudy,8.0,Monday,27.5
Route 33 (CBD-Umoja),sunny,20.0,Thursday,13.2
Route 58 (CBD-Westlands),sunny,14.0,Thursday,17.6
Route 46 (CBD-Kikuyu),light_rain,8.0,Thursday,30.2
Route 58 (CBD-Westlands),cloudy,21.0,Tuesday,13.6
Route 33 (CBD-Umoja),heavy_rain,14.0,Friday,12.5
Route 9 (CBD-Karen),light_rain,19.0,Saturday,18.8
Route 9 (CBD-Karen),cloudy,15.0,Thursday,15.9
Route 33 (CBD-Umoja),heavy_rain,6.0,Sunday,21.7
Route 33 (CBD-Umoja),cloudy,10.0,Thursday,4.7
Route 9 (CBD-Karen),cloudy,17.0,Thursday,19.6
Route 111 (CBD-Rongai),sunny,13.0,Saturday,13.9
Route 58 (CBD-Westlands),light_rain,15.0,Sunday,16.3
Route 33 (CBD-Umoja),light_rain,21.0,Wednesday,9.6
Route 46 (CBD-Kikuyu),cloudy,8.0,Tuesday,28.5
Route 9 (CBD-Karen),cloudy,16.0,Wednesday,10.1
Route 46 (CBD-Kikuyu),cloudy,17.0,Sunday,22.7
Route 58 (CBD-Westlands),sunny,11.0,Saturday,10.2
Route 46 (CBD-Kikuyu),sunny,22.0,Wednesday,14.0
Route 58 (CBD-Westlands),light_rain,10.0,Monday,17.5
Route 58 (CBD-Westlands),cloudy,22.0,Friday,14.0
Route 111 (CBD-Rongai),light_rain,17.0,Friday,38.4
Route 58 (CBD-Westlands),light_rain,5.0,Monday,17.7
Route 46 (CBD-Kikuyu),sunny,6.0,Sunday,9.0
Route 58 (CBD-Westlands),heavy_rain,10.0,Saturday,31.2
Route 9 (CBD-Karen),sunny,12.0,Wednesday,12.2
Route 46 (CBD-Kikuyu),cloudy,11.0,Thursday,15.6
Route 33 (CBD-Umoja),light_rain,21.0,Monday,15.6
Route 111 (CBD-Rongai),light_rain,8.0,Friday,37.5
Route 9 (CBD-Karen),light_rain,6.0,Thursday,20.7
Route 111 (CBD-Rongai),cloudy,20.0,Sunday,19.1
Route 46 (CBD-Kikuyu),light_rain,12.0,Sunday,18.0
Route 111 (CBD-Rongai),heavy_rain,6.0,Saturday,41.0
Route 9 (CBD-Karen),light_rain,21.0,Wednesday,9.7
Route 33 (CBD-Umoja),sunny,8.0,Saturday,9.5
Route 46 (CBD-Kikuyu),heavy_rain,13.0,Monday,28.8
Route 46 (CBD-Kikuyu),heavy_rain,21.0,Sunday,30.2
Route 46 (CBD-Kikuyu),sunny,8.0,Monday,30.9
Route 46 (CBD-Kikuyu),heavy_rain,17.0,Saturday,48.5
Route 111 (CBD-Rongai),sunny,17.0,Sunday,26.6
Route 33 (CBD-Umoja),cloudy,10.0,Monday,11.6
Route 111 (CBD-Rongai),sunny,19.0,Sunday,16.8
Route 9 (CBD-Karen),cloudy,13.0,Thursday,9.8
Route 9 (CBD-Karen),cloudy,11.0,Friday,8.8
Route 111 (CBD-Rongai),light_rain,10.0,Sunday,22.3
Route 46 (CBD-Kikuyu),cloudy,15.0,Sunday,12.1
Route 111 (CBD-Rongai),light_rain,20.0,Saturday,22.9
Route 111 (CBD-Rongai),light_rain,15.0,Sunday,16.9
Route 58 (CBD-Westlands),light_rain,5.0,Monday,22.2
Route 46 (CBD-Kikuyu),light_rain,22.0,Friday,18.1
Route 33 (CBD-Umoja),sunny,17.0,Sunday,15.0
Route 111 (CBD-Rongai),cloudy,17.0,Monday,39.9
Route 9 (CBD-Karen),sunny,15.0,Tuesday,6.3
Route 9 (CBD-Karen),sunny,20.0,Tuesday,0.0
Route 58 (CBD-Westlands),,11.0,Tuesday,
Route 46 (CBD-Kikuyu),heavy_rain,19.0,Thursday,48.0
Route 58 (CBD-Westlands),heavy_rain,17.0,Saturday,42.6
Route 9 (CBD-Karen),heavy_rain,16.0,Wednesday,19.1
Route 9 (CBD-Karen),sunny,9.0,Wednesday,22.0
Route 46 (CBD-Kikuyu),cloudy,8.0,Sunday,20.9
Route 33 (CBD-Umoja),cloudy,16.0,Saturday,5.2
Route 58 (CBD-Westlands),heavy_rain,13.0,Friday,39.4
Route 46 (CBD-Kikuyu),,7.0,Tuesday,37.6
Route 9 (CBD-Karen),heavy_rain,9.0,Monday,35.0
Route 46 (CBD-Kikuyu),light_rain,5.0,Saturday,20.3
Route 58 (CBD-Westlands),heavy_rain,11.0,Saturday,29.1
Route 9 (CBD-Karen),cloudy,21.0,Thursday,12.4
Route 9 (CBD-Karen),sunny,6.0,Saturday,7.2
Route 33 (CBD-Umoja),sunny,21.0,Thursday,6.4
Route 46 (CBD-Kikuyu),cloudy,10.0,Monday,17.9
Route 33 (CBD-Umoja),sunny,17.0,Friday,16.6
Route 111 (CBD-Rongai),heavy_rain,9.0,Sunday,51.7
Route 111 (CBD-Rongai),light_rain,20.0,Monday,27.3
Route 33 (CBD-Umoja),light_rain,19.0,Sunday,20.3
Route 33 (CBD-Umoja),sunny,16.0,Monday,7.9
Route 33 (CBD-Umoja),,17.0,Wednesday,27.3
Route 33 (CBD-Umoja),cloudy,11.0,Saturday,5.4
Route 9 (CBD-Karen),sunny,9.0,Friday,12.9
Route 58 (CBD-Westlands),cloudy,19.0,Monday,29.4
Route 33 (CBD-Umoja),light_rain,14.0,Monday,9.2
Route 33 (CBD-Umoja),heavy_rain,11.0,Friday,16.6
Route 111 (CBD-Rongai),heavy_rain,19.0,Monday,50.8
Route 58 (CBD-Westlands),cloudy,20.0,Tuesday,19.9
Route 111 (CBD-Rongai),sunny,21.0,Monday,9.5
Route 46 (CBD-Kikuyu),heavy_rain,22.0,Saturday,42.2
Route 58 (CBD-Westlands),light_rain,18.0,Thursday,
Route 33 (CBD-Umoja),light_rain,22.0,Thursday,13.7
Route 9 (CBD-Karen),,21.0,Sunday,5.8
Route 46 (CBD-Kikuyu),,,Saturday,13.9
Route 111 (CBD-Rongai),cloudy,16.0,Friday,23.7
Route 46 (CBD-Kikuyu),cloudy,21.0,Wednesday,19.4
Route 111 (CBD-Rongai),cloudy,12.0,Saturday,19.8
Route 46 (CBD-Kikuyu),sunny,6.0,Thursday,14.4
Route 33 (CBD-Umoja),cloudy,15.0,Tuesday,8.8
Route 111 (CBD-Rongai),sunny,9.0,Tuesday,27.4
Route 111 (CBD-Rongai),light_rain,11.0,Saturday,24.0
Route 111 (CBD-Rongai),heavy_rain,17.0,Wednesday,57.7
Route 9 (CBD-Karen),sunny,17.0,Monday,22.4
Route 58 (CBD-Westlands),sunny,8.0,Monday,10.2
Route 46 (CBD-Kikuyu),light_rain,10.0,Saturday,21.0
Route 111 (CBD-Rongai),light_rain,22.0,Wednesday,29.6
Route 33 (CBD-Umoja),heavy_rain,11.0,Monday,19.1
Route 33 (CBD-Umoja),heavy_rain,20.0,Monday,17.6
Route 33 (CBD-Umoja),sunny,12.0,Thursday,12.5
Route 46 (CBD-Kikuyu),sunny,21.0,Sunday,13.8
Route 33 (CBD-Umoja),sunny,9.0,Wednesday,14.9
Route 111 (CBD-Rongai),cloudy,6.0,Thursday,23.2
Route 58 (CBD-Westlands),cloudy,11.0,Wednesday,10.5
Route 33 (CBD-Umoja),cloudy,21.0,Wednesday,4.1
Route 33 (CBD-Umoja),sunny,,Thursday,15.5
Route 9 (CBD-Karen),light_rain,6.0,Tuesday,
Route 33 (CBD-Umoja),sunny,17.0,Sunday,17.8
Route 33 (CBD-Umoja),sunny,5.0,Saturday,6.1
Route 111 (CBD-Rongai),light_rain,17.0,Thursday,41.7
Route 9 (CBD-Karen),light_rain,19.0,Thursday,28.1
Route 9 (CBD-Karen),cloudy,9.0,Wednesday,19.4
Route 9 (CBD-Karen),,16.0,Saturday,9.7
Route 111 (CBD-Rongai),heavy_rain,22.0,Sunday,42.4
Route 9 (CBD-Karen),cloudy,17.0,Thursday,25.0
Route 111 (CBD-Rongai),heavy_rain,16.0,Wednesday,48.0
Route 58 (CBD-Westlands),cloudy,11.0,Saturday,13.2
Route 46 (CBD-Kikuyu),light_rain,19.0,Friday,33.8
Route 9 (CBD-Karen),cloudy,17.0,Tuesday,26.3
Route 46 (CBD-Kikuyu),heavy_rain,6.0,Tuesday,33.5
Route 111 (CBD-Rongai),,10.0,Thursday,39.7
Route 58 (CBD-Westlands),light_rain,9.0,Saturday,24.5
Route 111 (CBD-Rongai),light_rain,19.0,Tuesday,35.8
Route 9 (CBD-Karen),sunny,,Sunday,13.3
Route 33 (CBD-Umoja),light_rain,7.0,Wednesday,22.2
Route 58 (CBD-Westlands),light_rain,7.0,Wednesday,26.0
Route 111 (CBD-Rongai),heavy_rain,15.0,Saturday,38.0
Route 58 (CBD-Westlands),cloudy,10.0,Thursday,6.8
Route 46 (CBD-Kikuyu),heavy_rain,13.0,Saturday,30.5
Route 58 (CBD-Westlands),,8.0,Sunday,34.8
Route 111 (CBD-Rongai),cloudy,5.0,Friday,18.3
Route 46 (CBD-Kikuyu),cloudy,19.0,Monday,29.4
Route 9 (CBD-Karen),sunny,16.0,Monday,13.8
Route 58 (CBD-Westlands),sunny,11.0,Saturday,1.6
Route 33 (CBD-Umoja),light_rain,20.0,Monday,9.7
Route 9 (CBD-Karen),light_rain,11.0,Friday,12.9
Route 111 (CBD-Rongai),light_rain,10.0,Monday,25.0
Route 111 (CBD-Rongai),light_rain,6.0,Wednesday,32.1
Route 33 (CBD-Umoja),light_rain,22.0,Monday,12.0
Route 46 (CBD-Kikuyu),sunny,14.0,Thursday,12.9
Route 9 (CBD-Karen),heavy_rain,15.0,Wednesday,16.0
Route 111 (CBD-Rongai),light_rain,9.0,Wednesday,41.3
Route 9 (CBD-Karen),sunny,19.0,Saturday,11.0
Route 46 (CBD-Kikuyu),sunny,5.0,Sunday,10.2
Route 58 (CBD-Westlands),light_rain,7.0,Tuesday,30.3
Route 33 (CBD-Umoja),sunny,5.0,Saturday,9.4
Route 58 (CBD-Westlands),heavy_rain,15.0,Sunday,19.6
Route 58 (CBD-Westlands),cloudy,7.0,Tuesday,
Route 58 (CBD-Westlands),cloudy,6.0,Saturday,11.1
Route 111 (CBD-Rongai),cloudy,20.0,Friday,28.8
Route 46 (CBD-Kikuyu),sunny,19.0,Tuesday,29.0
Route 9 (CBD-Karen),cloudy,22.0,Friday,12.8
Route 33 (CBD-Umoja),cloudy,10.0,Sunday,3.6
Route 46 (CBD-Kikuyu),light_rain,18.0,Friday,35.6
Route 9 (CBD-Karen),cloudy,21.0,Monday,8.1
Route 58 (CBD-Westlands),sunny,6.0,Monday,13.9
Route 111 (CBD-Rongai),sunny,19.0,Monday,30.0
Route 9 (CBD-Karen),sunny,13.0,Saturday,10.2
Route 111 (CBD-Rongai),light_rain,20.0,Wednesday,39.8
Route 58 (CBD-Westlands),cloudy,10.0,Monday,16.0
Route 9 (CBD-Karen),heavy_rain,19.0,Sunday,28.0
Route 111 (CBD-Rongai),heavy_rain,5.0,Sunday,39.1
Route 58 (CBD-Westlands),heavy_rain,16.0,Monday,21.7
Route 58 (CBD-Westlands),,11.0,Monday,11.6
Route 58 (CBD-Westlands),sunny,20.0,Thursday,10.4
Route 9 (CBD-Karen),cloudy,11.0,Thursday,9.9
Route 58 (CBD-Westlands),heavy_rain,6.0,Wednesday,29.4
Route 111 (CBD-Rongai),light_rain,9.0,Tuesday,35.5
Route 111 (CBD-Rongai),sunny,14.0,Saturday,18.5
Route 111 (CBD-Rongai),sunny,9.0,Friday,28.0
Route 58 (CBD-Westlands),,20.0,Monday,19.2
Route 9 (CBD-Karen),cloudy,15.0,Saturday,6.7
Route 46 (CBD-Kikuyu),light_rain,15.0,Saturday,19.0
Route 46 (CBD-Kikuyu),cloudy,12.0,Sunday,16.1
Route 33 (CBD-Umoja),light_rain,21.0,Monday,9.3
Route 46 (CBD-Kikuyu),heavy_rain,19.0,Friday,41.0
Route 33 (CBD-Umoja),heavy_rain,17.0,Sunday,24.0
Route 9 (CBD-Karen),sunny,,Tuesday,4.6
Route 46 (CBD-Kikuyu),heavy_rain,22.0,Tuesday,30.3
Route 9 (CBD-Karen),cloudy,11.0,Friday,10.1
Route 58 (CBD-Westlands),light_rain,12.0,Sunday,18.7
Route 9 (CBD-Karen),light_rain,,Tuesday,17.1
Route 111 (CBD-Rongai),sunny,16.0,Thursday,18.8
Route 111 (CBD-Rongai),cloudy,19.0,Sunday,31.0
Route 58 (CBD-Westlands),heavy_rain,14.0,Tuesday,
Route 33 (CBD-Umoja),light_rain,22.0,Thursday,14.4
Route 46 (CBD-Kikuyu),sunny,18.0,Saturday,19.6
Route 33 (CBD-Umoja),light_rain,15.0,Friday,13.9
Route 58 (CBD-Westlands),heavy_rain,7.0,Monday,36.5
Route 58 (CBD-Westlands),sunny,16.0,Wednesday,2.2
Route 111 (CBD-Rongai),heavy_rain,22.0,Monday,42.7
Route 58 (CBD-Westlands),sunny,11.0,Thursday,17.7
Route 58 (CBD-Westlands),cloudy,,Saturday,14.1
Route 58 (CBD-Westlands),heavy_rain,6.0,Monday,32.7
Route 58 (CBD-Westlands),light_rain,15.0,Thursday,
Route 9 (CBD-Karen),heavy_rain,5.0,Saturday,20.4
Route 58 (CBD-Westlands),sunny,,Tuesday,12.8
Route 46 (CBD-Kikuyu),light_rain,21.0,Sunday,15.9
Route 46 (CBD-Kikuyu),light_rain,13.0,Friday,21.1
Route 46 (CBD-Kikuyu),light_rain,15.0,Tuesday,24.9
Route 9 (CBD-Karen),heavy_rain,5.0,Thursday,28.8
Route 111 (CBD-Rongai),,10.0,Monday,21.0
Route 58 (CBD-Westlands),cloudy,14.0,Sunday,8.6
Route 9 (CBD-Karen),light_rain,19.0,Monday,26.0
Route 9 (CBD-Karen),cloudy,21.0,Monday,14.4
Route 9 (CBD-Karen),cloudy,20.0,Saturday,2.2
Route 46 (CBD-Kikuyu),cloudy,20.0,Thursday,7.6
Route 58 (CBD-Westlands),sunny,8.0,Monday,19.8
Route 9 (CBD-Karen),sunny,14.0,Thursday,5.1
Route 33 (CBD-Umoja),light_rain,11.0,Saturday,6.8
Route 33 (CBD-Umoja),,18.0,Saturday,18.2
Route 9 (CBD-Karen),cloudy,13.0,Thursday,10.2
Route 58 (CBD-Westlands),sunny,5.0,Thursday,17.8
Route 111 (CBD-Rongai),light_rain,13.0,Monday,30.1
Route 58 (CBD-Westlands),cloudy,,Thursday,25.6
Route 111 (CBD-Rongai),heavy_rain,10.0,Monday,45.7
Route 9 (CBD-Karen),light_rain,,Tuesday,11.4
Route 58 (CBD-Westlands),,19.0,Sunday,24.6
Route 111 (CBD-Rongai),heavy_rain,12.0,Saturday,38.9
Route 46 (CBD-Kikuyu),light_rain,19.0,Sunday,31.1
Route 9 (CBD-Karen),cloudy,15.0,Saturday,3.7
Route 9 (CBD-Karen),heavy_rain,16.0,Sunday,13.8
Route 111 (CBD-Rongai),heavy_rain,16.0,Thursday,46.5
Route 9 (CBD-Karen),heavy_rain,19.0,Sunday,31.5
Route 9 (CBD-Karen),cloudy,15.0,Friday,8.4
Route 46 (CBD-Kikuyu),cloudy,11.0,Sunday,9.3
Route 33 (CBD-Umoja),sunny,21.0,Monday,12.5
Route 58 (CBD-Westlands),cloudy,15.0,Thursday,9.6
Route 46 (CBD-Kikuyu),heavy_rain,21.0,Saturday,36.2
Route 111 (CBD-Rongai),sunny,12.0,Saturday,10.4
Route 58 (CBD-Westlands),sunny,21.0,Sunday,10.6
Route 9 (CBD-Karen),cloudy,17.0,Wednesday,20.7
Route 58 (CBD-Westlands),sunny,5.0,Monday,14.4
Route 33 (CBD-Umoja),sunny,13.0,Thursday,5.8
Route 111 (CBD-Rongai),sunny,14.0,Wednesday,17.3
Route 46 (CBD-Kikuyu),heavy_rain,6.0,Saturday,29.8
Route 33 (CBD-Umoja),light_rain,20.0,Sunday,4.8
Route 111 (CBD-Rongai),light_rain,20.0,Monday,31.8
Route 33 (CBD-Umoja),heavy_rain,13.0,Friday,17.1
Route 33 (CBD-Umoja),heavy_rain,17.0,Saturday,24.3
Route 9 (CBD-Karen),light_rain,22.0,Sunday,8.0
Route 33 (CBD-Umoja),sunny,9.0,Friday,7.8
Route 111 (CBD-Rongai),sunny,21.0,Tuesday,17.2
Route 46 (CBD-Kikuyu),sunny,13.0,Friday,23.7
Route 111 (CBD-Rongai),light_rain,10.0,Monday,31.9
Route 58 (CBD-Westlands),sunny,,Thursday,11.9
Route 58 (CBD-Westlands),heavy_rain,6.0,Wednesday,27.7
Route 111 (CBD-Rongai),cloudy,19.0,Sunday,27.7
Route 58 (CBD-Westlands),cloudy,5.0,Thursday,16.6
Route 46 (CBD-Kikuyu),light_rain,22.0,Monday,17.7
Route 111 (CBD-Rongai),sunny,7.0,Monday,32.5
Route 111 (CBD-Rongai),,9.0,Monday,34.5
Route 58 (CBD-Westlands),heavy_rain,22.0,Wednesday,31.7
Route 58 (CBD-Westlands),,8.0,Friday,40.6
Route 111 (CBD-Rongai),sunny,,Monday,18.1
Route 9 (CBD-Karen),sunny,14.0,Sunday,8.7
Route 58 (CBD-Westlands),cloudy,20.0,Thursday,16.8
Route 46 (CBD-Kikuyu),sunny,9.0,Saturday,18.6
Route 33 (CBD-Umoja),heavy_rain,21.0,Monday,16.9
Route 9 (CBD-Karen),cloudy,13.0,Thursday,12.4
Route 111 (CBD-Rongai),sunny,11.0,Saturday,20.2
Route 58 (CBD-Westlands),cloudy,20.0,Friday,9.4
Route 58 (CBD-Westlands),cloudy,21.0,Wednesday,8.5
Route 111 (CBD-Rongai),sunny,22.0,Monday,18.7
Route 33 (CBD-Umoja),light_rain,13.0,Thursday,13.0
Route 9 (CBD-Karen),light_rain,22.0,Friday,16.7
Route 46 (CBD-Kikuyu),heavy_rain,17.0,Sunday,40.6
Route 46 (CBD-Kikuyu),cloudy,20.0,Wednesday,15.9
Route 46 (CBD-Kikuyu),sunny,13.0,Saturday,16.0
Route 46 (CBD-Kikuyu),cloudy,15.0,Wednesday,10.4
Route 9 (CBD-Karen),cloudy,15.0,Friday,8.7
Route 58 (CBD-Westlands),cloudy,14.0,Tuesday,14.0
Route 9 (CBD-Karen),cloudy,19.0,Friday,15.4
Route 9 (CBD-Karen),cloudy,11.0,Friday,11.3
Route 111 (CBD-Rongai),light_rain,12.0,Thursday,35.4
Route 46 (CBD-Kikuyu),light_rain,9.0,Wednesday,32.5
Route 46 (CBD-Kikuyu),heavy_rain,5.0,Monday,34.5
Route 111 (CBD-Rongai),light_rain,21.0,Friday,23.8
Route 111 (CBD-Rongai),sunny,20.0,Thursday,15.5
Route 9 (CBD-Karen),sunny,6.0,Sunday,4.5
Route 58 (CBD-Westlands),,18.0,Tuesday,20.7
Route 33 (CBD-Umoja),light_rain,13.0,Wednesday,17.9
Route 46 (CBD-Kikuyu),light_rain,22.0,Wednesday,24.6
Route 9 (CBD-Karen),cloudy,10.0,Sunday,3.6
Route 33 (CBD-Umoja),cloudy,7.0,Friday,20.6
Route 111 (CBD-Rongai),sunny,8.0,Tuesday,30.0
Route 58 (CBD-Westlands),cloudy,12.0,Wednesday,19.0
Route 46 (CBD-Kikuyu),heavy_rain,19.0,Tuesday,49.9
Route 111 (CBD-Rongai),heavy_rain,9.0,Saturday,45.1
Route 33 (CBD-Umoja),light_rain,11.0,Saturday,5.6
Route 9 (CBD-Karen),sunny,20.0,Friday,5.0
Route 9 (CBD-Karen),cloudy,7.0,Friday,21.1
Route 111 (CBD-Rongai),cloudy,11.0,Wednesday,23.5
Route 58 (CBD-Westlands),heavy_rain,20.0,Monday,32.7
Route 33 (CBD-Umoja),heavy_rain,5.0,Thursday,
Route 111 (CBD-Rongai),heavy_rain,18.0,Monday,51.9
Route 9 (CBD-Karen),heavy_rain,10.0,Tuesday,24.6
Route 46 (CBD-Kikuyu),cloudy,6.0,Thursday,13.5
Route 58 (CBD-Westlands),sunny,22.0,Monday,20.4
Route 58 (CBD-Westlands),light_rain,9.0,Sunday,18.8
Route 111 (CBD-Rongai),light_rain,10.0,Friday,29.5
Route 46 (CBD-Kikuyu),cloudy,14.0,Friday,24.9
Route 33 (CBD-Umoja),cloudy,7.0,Monday,19.6
Route 46 (CBD-Kikuyu),sunny,19.0,Friday,23.2
Route 58 (CBD-Westlands),cloudy,5.0,Wednesday,13.0
Route 33 (CBD-Umoja),sunny,17.0,Tuesday,17.3
Route 58 (CBD-Westlands),light_rain,13.0,Thursday,24.7
Route 58 (CBD-Westlands),cloudy,6.0,Monday,5.6
Route 46 (CBD-Kikuyu),heavy_rain,17.0,Friday,49.7
Route 46 (CBD-Kikuyu),light_rain,17.0,Sunday,22.7
Route 111 (CBD-Rongai),cloudy,6.0,Tuesday,20.5
Route 33 (CBD-Umoja),heavy_rain,,Thursday,27.5
Route 33 (CBD-Umoja),cloudy,18.0,Sunday,18.0
Route 58 (CBD-Westlands),light_rain,17.0,Tuesday,22.8
Route 9 (CBD-Karen),heavy_rain,17.0,Thursday,35.8
Route 58 (CBD-Westlands),heavy_rain,6.0,Tuesday,36.9
Route 9 (CBD-Karen),light_rain,6.0,Wednesday,10.5
Route 111 (CBD-Rongai),sunny,14.0,Wednesday,18.8
Route 111 (CBD-Rongai),sunny,16.0,Wednesday,15.4
Route 33 (CBD-Umoja),cloudy,22.0,Wednesday,11.3
Route 9 (CBD-Karen),sunny,19.0,Thursday,20.1
Route 9 (CBD-Karen),light_rain,16.0,Monday,13.4
Route 111 (CBD-Rongai),heavy_rain,21.0,Monday,45.2
Route 46 (CBD-Kikuyu),sunny,9.0,Sunday,27.2
Route 9 (CBD-Karen),cloudy,9.0,Sunday,17.2
Route 111 (CBD-Rongai),cloudy,6.0,Monday,24.5
Route 46 (CBD-Kikuyu),cloudy,18.0,Sunday,17.6
Route 9 (CBD-Karen),cloudy,5.0,Monday,8.2
Route 33 (CBD-Umoja),cloudy,19.0,Tuesday,21.5
Route 111 (CBD-Rongai),light_rain,16.0,Sunday,30.7
Route 46 (CBD-Kikuyu),light_rain,15.0,Friday,23.8
Route 46 (CBD-Kikuyu),light_rain,12.0,Tuesday,21.1
Route 46 (CBD-Kikuyu),light_rain,20.0,Saturday,18.4
